,Recon_method,Short_Recon_Method,Long_Recon_Method,Corrected,Forecasting_Model,Seasonality,Horizon,R2,SMAPE,MAE,RMSE
0,hybrid,ARIMA,mean,Correction_False,ANN,96,96.csv,0.9896134960136195,0.1279047611137089,2.2752713213364277,2.62230467274387
1,hybrid,ARIMA,mean,Correction_False,DecisionTreeRegressor,96,96.csv,0.9585167777318713,0.1643160482995859,4.165175573151588,5.240644430529406
2,hybrid,ARIMA,mean,Correction_False,GradientBoostingRegressor,96,96.csv,0.9850325255842214,0.10490955804364546,2.325284164289809,3.1479129558300847
3,hybrid,ARIMA,mean,Correction_False,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
4,hybrid,ARIMA,mean,Correction_False,RandomForestRegressor,96,96.csv,0.9759999303274421,0.1276186096279976,3.1031195312910893,3.9861597907467874
5,hybrid,ARIMA,mean,Correction_False,SVR,96,96.csv,0.984163740594617,0.1086624768382739,2.5945224447229682,3.2379844316272726
6,hybrid,ARIMA,mean,Correction_True,ANN,96,96.csv,0.980688917420729,0.11992969354165003,2.8213984858989716,3.575623338275445
7,hybrid,ARIMA,mean,Correction_True,DecisionTreeRegressor,96,96.csv,0.9585167777318712,0.16431604829958624,4.165175573151597,5.2406444305294135
8,hybrid,ARIMA,mean,Correction_True,GradientBoostingRegressor,96,96.csv,0.9850325255842214,0.10490955804364543,2.325284164289809,3.147912955830085
9,hybrid,ARIMA,mean,Correction_True,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
10,hybrid,ARIMA,mean,Correction_True,RandomForestRegressor,96,96.csv,0.9756691574190678,0.128005353576828,3.1229950328893894,4.013534746968559
11,hybrid,ARIMA,mean,Correction_True,SVR,96,96.csv,0.984163740594617,0.1086624768382739,2.5945224447229682,3.2379844316272726
12,hybrid,ARIMA,median,Correction_False,ANN,96,96.csv,0.991246310820264,0.08178396970354107,1.8559130044778187,2.4073764830950166
13,hybrid,ARIMA,median,Correction_False,DecisionTreeRegressor,96,96.csv,0.9214168865637915,0.30332617661929384,6.422557560818014,7.212952438097717
14,hybrid,ARIMA,median,Correction_False,GradientBoostingRegressor,96,96.csv,0.9805592463142178,0.12098747031649648,2.8409802429548776,3.587608147805258
15,hybrid,ARIMA,median,Correction_False,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
16,hybrid,ARIMA,median,Correction_False,RandomForestRegressor,96,96.csv,0.9751004230198803,0.13050635062076765,3.1588379574495304,4.060172050094606
17,hybrid,ARIMA,median,Correction_False,SVR,96,96.csv,0.9840901249907443,0.10869041590766643,2.5980619542371786,3.24550166789614
18,hybrid,ARIMA,median,Correction_True,ANN,96,96.csv,0.976298302333474,0.1047042719086353,2.6897666958967847,3.96130406672799
19,hybrid,ARIMA,median,Correction_True,DecisionTreeRegressor,96,96.csv,0.9214168865637914,0.30332617661929406,6.422557560818021,7.212952438097722
20,hybrid,ARIMA,median,Correction_True,GradientBoostingRegressor,96,96.csv,0.9805592463142178,0.12098747031649654,2.840980242954878,3.587608147805259
21,hybrid,ARIMA,median,Correction_True,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
22,hybrid,ARIMA,median,Correction_True,RandomForestRegressor,96,96.csv,0.9748469452277059,0.13200727868889306,3.186154619713853,4.080786004170138
23,hybrid,ARIMA,median,Correction_True,SVR,96,96.csv,0.9840901249907443,0.10869041590766643,2.5980619542371786,3.24550166789614
24,hybrid,HW,mean,Correction_False,ANN,96,96.csv,0.9882120615889973,0.0896358082664951,2.1345711604754127,2.7936203254865952
25,hybrid,HW,mean,Correction_False,DecisionTreeRegressor,96,96.csv,0.9466403836112507,0.1997067911976063,4.802343662024236,5.943671550264904
26,hybrid,HW,mean,Correction_False,GradientBoostingRegressor,96,96.csv,0.9883801637881293,0.09392290498339524,2.104235398013634,2.7736295525599064
27,hybrid,HW,mean,Correction_False,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
28,hybrid,HW,mean,Correction_False,RandomForestRegressor,96,96.csv,0.9754965100525376,0.13000649197646794,3.1445166771111,4.027749242903823
29,hybrid,HW,mean,Correction_False,SVR,96,96.csv,0.984163774219978,0.10869010587404355,2.5948089233972356,3.2379809939956115
30,hybrid,HW,mean,Correction_True,ANN,96,96.csv,0.9727395723795259,0.1384134266431396,3.3204105726877846,4.248296158794706
31,hybrid,HW,mean,Correction_True,DecisionTreeRegressor,96,96.csv,0.9466403836112509,0.19970679119760595,4.802343662024226,5.943671550264893
32,hybrid,HW,mean,Correction_True,GradientBoostingRegressor,96,96.csv,0.9883801637881293,0.0939229049833952,2.1042353980136332,2.7736295525599064
33,hybrid,HW,mean,Correction_True,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
