Recon_method;Short_Recon_Method;Long_Recon_Method;Corrected;Forecasting_Model;R2;SMAPE;RMSE
hybrid;ARIMA;mean;Correction_False;ANN;0.989613496;0.127904761;2.622304673
hybrid;ARIMA;mean;Correction_False;DecisionTreeRegressor;0.958516778;0.164316048;5.240644431
hybrid;ARIMA;mean;Correction_False;GradientBoostingRegressor;0.985032526;0.104909558;3.147912956
hybrid;ARIMA;mean;Correction_False;KNeighborsRegressor;0.97295295;0.1312412;4.231636954
hybrid;ARIMA;mean;Correction_False;RandomForestRegressor;0.97599993;0.12761861;3.986159791
hybrid;ARIMA;mean;Correction_False;SVR;0.984163741;0.108662477;3.237984432
hybrid;ARIMA;mean;Correction_True;ANN;0.980688917;0.119929694;3.575623338
hybrid;ARIMA;mean;Correction_True;DecisionTreeRegressor;0.958516778;0.164316048;5.240644431
hybrid;ARIMA;mean;Correction_True;GradientBoostingRegressor;0.985032526;0.104909558;3.147912956
hybrid;ARIMA;mean;Correction_True;KNeighborsRegressor;0.97295295;0.1312412;4.231636954
hybrid;ARIMA;mean;Correction_True;RandomForestRegressor;0.975669157;0.128005354;4.013534747
hybrid;ARIMA;mean;Correction_True;SVR;0.984163741;0.108662477;3.237984432
hybrid;ARIMA;median;Correction_False;ANN;0.991246311;0.08178397;2.407376483
hybrid;ARIMA;median;Correction_False;DecisionTreeRegressor;0.921416887;0.303326177;7.212952438
hybrid;ARIMA;median;Correction_False;GradientBoostingRegressor;0.980559246;0.12098747;3.587608148
hybrid;ARIMA;median;Correction_False;KNeighborsRegressor;0.962602597;0.153608085;4.975871743
hybrid;ARIMA;median;Correction_False;RandomForestRegressor;0.975100423;0.130506351;4.06017205
hybrid;ARIMA;median;Correction_False;SVR;0.984090125;0.108690416;3.245501668
hybrid;ARIMA;median;Correction_True;ANN;0.976298302;0.104704272;3.961304067
hybrid;ARIMA;median;Correction_True;DecisionTreeRegressor;0.921416887;0.303326177;7.212952438
hybrid;ARIMA;median;Correction_True;GradientBoostingRegressor;0.980559246;0.12098747;3.587608148
hybrid;ARIMA;median;Correction_True;KNeighborsRegressor;0.962602597;0.153608085;4.975871743
hybrid;ARIMA;median;Correction_True;RandomForestRegressor;0.974846945;0.132007279;4.080786004
hybrid;ARIMA;median;Correction_True;SVR;0.984090125;0.108690416;3.245501668
hybrid;HW;mean;Correction_False;ANN;0.988212062;0.089635808;2.793620325
