;Model;Imputation;Correction;Forecast;Total
0;mean-Correction_True-KNeighborsRegressor-96-96;21.3894031;25.88211131;703.962863;751.2343774
1;mean-Correction_True-RandomForestRegressor-96-96;21.3894031;25.88211131;1369.01931;1416.290824
2;mean-Correction_True-SVR-96-96;21.3894031;25.88211131;853.1411102;900.4126246
3;mean-Correction_True-DecisionTreeRegressor-96-96;21.3894031;25.88211131;3.300216198;50.57173061
4;mean-Correction_True-GradientBoostingRegressor-96-96;21.3894031;25.88211131;230.6105862;277.8821006
5;mean-Correction_True-ANN-96-96;21.3894031;25.88211131;251.0170095;298.2885239
6;mean-Correction_False-KNeighborsRegressor-96-96;21.3894031;0;548.112149;569.5015521
7;mean-Correction_False-RandomForestRegressor-96-96;21.3894031;0;1771.928194;1793.317597
8;mean-Correction_False-SVR-96-96;21.3894031;0;1085.734903;1107.124306
9;mean-Correction_False-DecisionTreeRegressor-96-96;21.3894031;0;3.121629477;24.51103258
10;mean-Correction_False-GradientBoostingRegressor-96-96;21.3894031;0;222.2606103;243.6500134
11;mean-Correction_False-ANN-96-96;21.3894031;0;257.1479619;278.537365
12;median-Correction_True-KNeighborsRegressor-96-96;17.94010305;21.1351018;543.2830281;582.358233
13;median-Correction_True-RandomForestRegressor-96-96;17.94010305;21.1351018;1207.475913;1246.551118
14;median-Correction_True-SVR-96-96;17.94010305;21.1351018;832.1883283;871.2635331
15;median-Correction_True-DecisionTreeRegressor-96-96;17.94010305;21.1351018;3.186628342;42.26183319
16;median-Correction_True-GradientBoostingRegressor-96-96;17.94010305;21.1351018;211.9610319;251.0362368
17;median-Correction_True-ANN-96-96;17.94010305;21.1351018;253.5255201;292.6007249
18;median-Correction_False-KNeighborsRegressor-96-96;17.94010305;0;549.275249;567.2153521
19;median-Correction_False-RandomForestRegressor-96-96;17.94010305;0;1211.194601;1229.134704
20;median-Correction_False-SVR-96-96;17.94010305;0;833.0639513;851.0040543
21;median-Correction_False-DecisionTreeRegressor-96-96;17.94010305;0;3.082839012;21.02294207
22;median-Correction_False-GradientBoostingRegressor-96-96;17.94010305;0;217.2690961;235.2091992
23;median-Correction_False-ANN-96-96;17.94010305;0;249.9000111;267.8401141
24;hybrid-ARIMA-mean-Correction_True-KNeighborsRegressor-96-96;1239.219198;21.09956813;535.8059137;1796.12468
25;hybrid-ARIMA-mean-Correction_True-RandomForestRegressor-96-96;1239.219198;21.09956813;1220.51732;2480.836086
26;hybrid-ARIMA-mean-Correction_True-SVR-96-96;1239.219198;21.09956813;826.8721273;2087.190894
27;hybrid-ARIMA-mean-Correction_True-DecisionTreeRegressor-96-96;1239.219198;21.09956813;3.148211956;1263.466978
28;hybrid-ARIMA-mean-Correction_True-GradientBoostingRegressor-96-96;1239.219198;21.09956813;222.2888229;1482.607589
29;hybrid-ARIMA-mean-Correction_True-ANN-96-96;1239.219198;21.09956813;257.6335433;1517.95231
30;hybrid-ARIMA-mean-Correction_False-KNeighborsRegressor-96-96;1249.483593;0;535.4827304;1784.966324
31;hybrid-ARIMA-mean-Correction_False-RandomForestRegressor-96-96;1249.483593;0;1240.316505;2489.800098
32;hybrid-ARIMA-mean-Correction_False-SVR-96-96;1249.483593;0;831.9429052;2081.426498
33;hybrid-ARIMA-mean-Correction_False-DecisionTreeRegressor-96-96;1249.483593;0;3.26849103;1252.752084
34;hybrid-ARIMA-mean-Correction_False-GradientBoostingRegressor-96-96;1249.483593;0;224.7253771;1474.20897
35;hybrid-ARIMA-mean-Correction_False-ANN-96-96;1249.483593;0;278.7031262;1528.186719
36;hybrid-ARIMA-median-Correction_True-KNeighborsRegressor-96-96;1168.742941;21.74284959;540.2255869;1730.711378
37;hybrid-ARIMA-median-Correction_True-RandomForestRegressor-96-96;1168.742941;21.74284959;1229.72768;2420.21347
38;hybrid-ARIMA-median-Correction_True-SVR-96-96;1168.742941;21.74284959;830.8515308;2021.337322
39;hybrid-ARIMA-median-Correction_True-DecisionTreeRegressor-96-96;1168.742941;21.74284959;3.28425622;1193.770047
40;hybrid-ARIMA-median-Correction_True-GradientBoostingRegressor-96-96;1168.742941;21.74284959;221.8823483;1412.368139
41;hybrid-ARIMA-median-Correction_True-ANN-96-96;1168.742941;21.74284959;277.4916174;1467.977408
42;hybrid-ARIMA-median-Correction_False-KNeighborsRegressor-96-96;1174.286424;0;539.7067008;1713.993125
43;hybrid-ARIMA-median-Correction_False-RandomForestRegressor-96-96;1174.286424;0;1222.164202;2396.450627
44;hybrid-ARIMA-median-Correction_False-SVR-96-96;1174.286424;0;815.7173631;1990.003787
45;hybrid-ARIMA-median-Correction_False-DecisionTreeRegressor-96-96;1174.286424;0;3.218432188;1177.504856
46;hybrid-ARIMA-median-Correction_False-GradientBoostingRegressor-96-96;1174.286424;0;223.8222616;1398.108686
