,Model,Imputation,Correction,Forecast,Recon_method,Total,Forecasting_Model
0,mean-Correction_True-KNeighborsRegressor-96-96,21.389403104782104,25.882111310958862,703.9628629684448,mean,751.2343773841858,KNeighborsRegressor
1,mean-Correction_True-RandomForestRegressor-96-96,21.389403104782104,25.882111310958862,1369.01930975914,mean,1416.290824174881,RandomForestRegressor
2,mean-Correction_True-SVR-96-96,21.389403104782104,25.882111310958862,853.1411101818085,mean,900.4126245975494,SVR
3,mean-Correction_True-DecisionTreeRegressor-96-96,21.389403104782104,25.882111310958862,3.3002161979675293,mean,50.571730613708496,DecisionTreeRegressor
4,mean-Correction_True-GradientBoostingRegressor-96-96,21.389403104782104,25.882111310958862,230.61058616638184,mean,277.8821005821228,GradientBoostingRegressor
5,mean-Correction_True-ANN-96-96,21.389403104782104,25.882111310958862,251.01700949668884,mean,298.2885239124298,ANN
6,mean-Correction_False-KNeighborsRegressor-96-96,21.389403104782104,0.0,548.1121490001678,mean,569.50155210495,KNeighborsRegressor
7,mean-Correction_False-RandomForestRegressor-96-96,21.389403104782104,0.0,1771.928193807602,mean,1793.317596912384,RandomForestRegressor
8,mean-Correction_False-SVR-96-96,21.389403104782104,0.0,1085.7349028587341,mean,1107.1243059635162,SVR
9,mean-Correction_False-DecisionTreeRegressor-96-96,21.389403104782104,0.0,3.121629476547241,mean,24.511032581329346,DecisionTreeRegressor
10,mean-Correction_False-GradientBoostingRegressor-96-96,21.389403104782104,0.0,222.26061034202576,mean,243.65001344680786,GradientBoostingRegressor
11,mean-Correction_False-ANN-96-96,21.389403104782104,0.0,257.1479618549347,mean,278.5373649597168,ANN
12,median-Correction_True-KNeighborsRegressor-96-96,17.94010305404663,21.135101795196533,543.2830281257629,median,582.3582329750061,KNeighborsRegressor
13,median-Correction_True-RandomForestRegressor-96-96,17.94010305404663,21.135101795196533,1207.475912809372,median,1246.551117658615,RandomForestRegressor
14,median-Correction_True-SVR-96-96,17.94010305404663,21.135101795196533,832.1883282661438,median,871.263533115387,SVR
15,median-Correction_True-DecisionTreeRegressor-96-96,17.94010305404663,21.135101795196533,3.1866283416748047,median,42.26183319091797,DecisionTreeRegressor
16,median-Correction_True-GradientBoostingRegressor-96-96,17.94010305404663,21.135101795196533,211.96103191375732,median,251.0362367630005,GradientBoostingRegressor
17,median-Correction_True-ANN-96-96,17.94010305404663,21.135101795196533,253.52552008628845,median,292.6007249355316,ANN
18,median-Correction_False-KNeighborsRegressor-96-96,17.94010305404663,0.0,549.275249004364,median,567.2153520584106,KNeighborsRegressor
19,median-Correction_False-RandomForestRegressor-96-96,17.94010305404663,0.0,1211.1946005821228,median,1229.1347036361694,RandomForestRegressor
20,median-Correction_False-SVR-96-96,17.94010305404663,0.0,833.063951253891,median,851.0040543079376,SVR
21,median-Correction_False-DecisionTreeRegressor-96-96,17.94010305404663,0.0,3.082839012145996,median,21.022942066192627,DecisionTreeRegressor
22,median-Correction_False-GradientBoostingRegressor-96-96,17.94010305404663,0.0,217.26909613609314,median,235.20919919013977,GradientBoostingRegressor
23,median-Correction_False-ANN-96-96,17.94010305404663,0.0,249.90001106262207,median,267.8401141166687,ANN
24,hybrid-ARIMA-mean-Correction_True-KNeighborsRegressor-96-96,1239.2191982269287,21.099568128585815,535.8059136867523,hybrid,1796.1246800422668,KNeighborsRegressor
25,hybrid-ARIMA-mean-Correction_True-RandomForestRegressor-96-96,1239.2191982269287,21.099568128585815,1220.5173196792603,hybrid,2480.836086034775,RandomForestRegressor
26,hybrid-ARIMA-mean-Correction_True-SVR-96-96,1239.2191982269287,21.099568128585815,826.8721272945404,hybrid,2087.190893650055,SVR
27,hybrid-ARIMA-mean-Correction_True-DecisionTreeRegressor-96-96,1239.2191982269287,21.099568128585815,3.14821195602417,hybrid,1263.4669783115387,DecisionTreeRegressor
28,hybrid-ARIMA-mean-Correction_True-GradientBoostingRegressor-96-96,1239.2191982269287,21.099568128585815,222.288822889328,hybrid,1482.6075892448425,GradientBoostingRegressor
29,hybrid-ARIMA-mean-Correction_True-ANN-96-96,1239.2191982269287,21.099568128585815,257.63354325294495,hybrid,1517.9523096084595,ANN
30,hybrid-ARIMA-mean-Correction_False-KNeighborsRegressor-96-96,1249.4835932254791,0.0,535.4827303886414,hybrid,1784.9663236141205,KNeighborsRegressor
31,hybrid-ARIMA-mean-Correction_False-RandomForestRegressor-96-96,1249.4835932254791,0.0,1240.3165051937103,hybrid,2489.8000984191895,RandomForestRegressor
32,hybrid-ARIMA-mean-Correction_False-SVR-96-96,1249.4835932254791,0.0,831.9429051876068,hybrid,2081.426498413086,SVR
33,hybrid-ARIMA-mean-Correction_False-DecisionTreeRegressor-96-96,1249.4835932254791,0.0,3.26849102973938,hybrid,1252.7520842552185,DecisionTreeRegressor
34,hybrid-ARIMA-mean-Correction_False-GradientBoostingRegressor-96-96,1249.4835932254791,0.0,224.7253770828247,hybrid,1474.2089703083038,GradientBoostingRegressor
35,hybrid-ARIMA-mean-Correction_False-ANN-96-96,1249.4835932254791,0.0,278.7031261920929,hybrid,1528.186719417572,ANN
36,hybrid-ARIMA-median-Correction_True-KNeighborsRegressor-96-96,1168.7429411411285,21.742849588394165,540.2255868911743,hybrid,1730.711377620697,KNeighborsRegressor
37,hybrid-ARIMA-median-Correction_True-RandomForestRegressor-96-96,1168.7429411411285,21.742849588394165,1229.7276797294617,hybrid,2420.2134704589844,RandomForestRegressor
38,hybrid-ARIMA-median-Correction_True-SVR-96-96,1168.7429411411285,21.742849588394165,830.851530790329,hybrid,2021.3373215198517,SVR
39,hybrid-ARIMA-median-Correction_True-DecisionTreeRegressor-96-96,1168.7429411411285,21.742849588394165,3.2842562198638916,hybrid,1193.7700469493866,DecisionTreeRegressor
40,hybrid-ARIMA-median-Correction_True-GradientBoostingRegressor-96-96,1168.7429411411285,21.742849588394165,221.8823482990265,hybrid,1412.3681390285492,GradientBoostingRegressor
41,hybrid-ARIMA-median-Correction_True-ANN-96-96,1168.7429411411285,21.742849588394165,277.49161744117737,hybrid,1467.9774081707,ANN
42,hybrid-ARIMA-median-Correction_False-KNeighborsRegressor-96-96,1174.2864241600037,0.0,539.7067008018494,hybrid,1713.993124961853,KNeighborsRegressor
43,hybrid-ARIMA-median-Correction_False-RandomForestRegressor-96-96,1174.2864241600037,0.0,1222.164202451706,hybrid,2396.4506266117096,RandomForestRegressor
44,hybrid-ARIMA-median-Correction_False-SVR-96-96,1174.2864241600037,0.0,815.7173631191254,hybrid,1990.003787279129,SVR
45,hybrid-ARIMA-median-Correction_False-DecisionTreeRegressor-96-96,1174.2864241600037,0.0,3.2184321880340576,hybrid,1177.5048563480377,DecisionTreeRegressor
46,hybrid-ARIMA-median-Correction_False-GradientBoostingRegressor-96-96,1174.2864241600037,0.0,223.82226157188416,hybrid,1398.1086857318878,GradientBoostingRegressor
47,hybrid-ARIMA-median-Correction_False-ANN-96-96,1174.2864241600037,0.0,286.6165747642517,hybrid,1460.9029989242554,ANN
